species_sc,SPCD,taxonID
Abies balsamea,12,ABBA
Abies concolor,15,ABCO
Abies fraseri,16,ABFR
Chamaecyparis thyoides,43,CHTH2
Juniperus ashei,61,JUAS
Juniperus virginiana,67,JUVIS
Larix laricina,71,LALA
Picea abies,91,PIAB
Picea glauca,94,PIGL
Picea mariana,95,PIMA
Picea pungens,96,PIPU
Picea rubens,97,PIRU
Pinus banksiana,105,PIBA2
Pinus clausa,107,PICL
Pinus echinata,110,PIEC2
Pinus elliottii,111,PIEL
Pinus glabra,115,PIGL2
Pinus palustris,121,PIPA2
Pinus ponderosa,122,PIPO
Pinus pungens,123,PIPU5
Pinus resinosa,125,PIRE
Pinus rigida,126,PIRI
Pinus serotina,128,PISE
Pinus strobus,129,PIST
Pinus sylvestris,130,PISY
Pinus taeda,131,PITA
Pinus virginiana,132,PIVI2
Pinus nigra,136,PINI
Pseudotsuga menziesii,202,PSME
Taxodium distichum,221,TADI2
Thuja occidentalis,241,THOC2
Tsuga canadensis,261,TSCA
Tsuga caroliniana,262,TSCA2
Acer negundo,313,ACNE2
Acer pensylvanicum,315,ACPE
Acer rubrum,316,ACRU
Acer saccharinum,317,ACSA2
Acer saccharum,318,ACSA3
Acer spicatum,319,ACSP2
Acer platanoides,320,ACPL
Aesculus glabra,331,AEGL
Aesculus flava,332,AEFL
Ailanthus altissima,341,AIAL
Albizia julibrissin,345,ALJU
Alnus glutinosa,355,ALGL2
Amelanchier arborea,357,AMAR3
Asimina triloba,367,ASTR
Betula alleghaniensis,371,BEAL2
Betula lenta,372,BELE
Betula nigra,373,BENI
Betula papyrifera,375,BEPA
Betula populifolia,379,BEPO
Sideroxylon lanuginosum,381,SILAL3
Carpinus caroliniana,391,CACA18
Carya aquatica,401,CAAQ2
Carya cordiformis,402,CACO15
Carya glabra,403,CAGL8
Carya illinoinensis,404,CAIL2
Carya laciniosa,405,CALA21
Carya myristiciformis,406,CAMY
Carya ovata,407,CAOV2
Carya texana,408,CATE9
Carya alba,409,CAAL27
Carya pallida,410,CAPA24
Carya floridana,411,CAFL6
Castanea dentata,421,CADE12
Castanea pumila,422,CAPU9
Castanea mollissima,424,CAMO83
Catalpa bignonioides,451,CABI8
Catalpa speciosa,452,CASP8
Celtis laevigata,461,CELA
Celtis occidentalis,462,CEOC
Cercis canadensis,471,CECA4
Cladrastis kentukea,481,CLKE
Cornus florida,491,COFL2
Crataegus mollis,502,CRMO2
Eucalyptus grandis,513,EUGR12
Diospyros virginiana,521,DIVI5
Fagus grandifolia,531,FAGR
Fraxinus americana,541,FRAM2
Fraxinus nigra,543,FRNI
Fraxinus pennsylvanica,544,FRPE
Fraxinus profunda,545,FRPR
Fraxinus quadrangulata,546,FRQU
Fraxinus caroliniana,548,FRCA3
Gleditsia aquatica,551,GLAQ
Gleditsia triacanthos,552,GLTR
Gordonia lasianthus,555,GOLA
Ginkgo biloba,561,GIBI2
Gymnocladus dioicus,571,GYDI
Halesia carolina,581,HACA3
Halesia diptera,582,HADI3
Ilex opaca,591,ILOP
Juglans cinerea,601,JUCI
Juglans nigra,602,JUNI
Liquidambar styraciflua,611,LIST2
Liriodendron tulipifera,621,LITU
Maclura pomifera,641,MAPO
Magnolia acuminata,651,MAAC
Magnolia grandiflora,652,MAGR4
Magnolia virginiana,653,MAVI2
Magnolia macrophylla,654,MAMA2
Magnolia fraseri,655,MAFR
Magnolia tripetala,658,MATR
Malus angustifolia,662,MAAN3
Malus coronaria,663,MACO5
Malus ioensis,664,MAIO
Morus alba,681,MOAL
Morus rubra,682,MORU2
Nyssa aquatica,691,NYAQ2
Nyssa ogeche,692,NYOG
Nyssa sylvatica,693,NYSY
Ostrya virginiana,701,OSVI
Oxydendrum arboreum,711,OXAR
Paulownia tomentosa,712,PATO2
Persea borbonia,721,PEBO
Planera aquatica,722,PLAQ
Platanus occidentalis,731,PLOC
Populus balsamifera,741,POBA2
Populus deltoides,742,PODE3
Populus grandidentata,743,POGR4
Populus heterophylla,744,POHE4
Populus tremuloides,746,POTR5
Populus alba,752,POAL7
Prunus pensylvanica,761,PRPE2
Prunus serotina,762,PRSE2
Prunus virginiana,763,PRVI
Prunus persica,764,PRPE3
Prunus nigra,765,PRNI
Prunus americana,766,PRAM
Prunus avium,771,PRAV
Prunus cerasus,772,PRCE
Quercus alba,802,QUAL
Quercus bicolor,804,QUBI
Quercus coccinea,806,QUCO2
Quercus sinuata,808,QUSIS
Quercus ellipsoidalis,809,QUEL
Quercus falcata,812,QUFA
Quercus pagoda,813,QUPA5
Quercus ilicifolia,816,QUIL
Quercus imbricaria,817,QUIM2
Quercus laevis,819,QULA2
Quercus laurifolia,820,QULA3
Quercus lyrata,822,QULY
Quercus macrocarpa,823,QUMA2
Quercus marilandica,824,QUMA3
Quercus michauxii,825,QUMI
Quercus muehlenbergii,826,QUMU
Quercus nigra,827,QUNI
Quercus palustris,830,QUPA2
Quercus phellos,831,QUPH
Quercus rubra,833,QURU
Quercus shumardii,834,QUSH
Quercus stellata,835,QUST
Quercus similis,836,QUSI2
Quercus velutina,837,QUVE
Quercus virginiana,838,QUVI
Quercus margarettiae,840,QUMA6
Quercus minima,841,QUMI2
Quercus incana,842,QUIN2
Quercus oglethorpensis,844,QUOG
Quercus prinoides,845,QUPR2
Annona glabra,853,ANGL4
Bursera simaruba,854,BUSI
Cinnamomum camphora,858,CICA
Coccoloba diversifolia,863,CODI8
Eugenia rhombea,873,EURH
Ficus aurea,876,FIAU
Guapira discolor,882,GUDI
Metopium toxiferum,886,METO3
Syzygium cumini,896,SYCU
Robinia pseudoacacia,901,ROPS
Coccothrinax argentata,907,COAR
Sabal palmetto,912,SAPA
Salix amygdaloides,921,SAAM2
Salix nigra,922,SANI
Salix bebbiana,923,SABE2
Salix caroliniana,925,SACA5
Salix pyrifolia,926,SAPY
Salix alba,927,SAAL2
Sassafras albidum,931,SAAL5
Sorbus americana,935,SOAM3
Sorbus aucuparia,936,SOAU
Sorbus decora,937,SODE3
Swietenia mahagoni,940,SWMA2
Tilia americana,951,TIAM
Ulmus alata,971,ULAL
Ulmus americana,972,ULAM
Ulmus crassifolia,973,ULCR
Ulmus pumila,974,ULPU
Ulmus rubra,975,ULRU
Ulmus thomasii,977,ULTH
Avicennia germinans,986,AVGE
Conocarpus erectus,987,COER2
Laguncularia racemosa,988,LARA2
Rhizophora mangle,989,RHMA2
Melaleuca quinquenervia,992,MEQU
Melia azedarach,993,MEAZ
Triadica sebifera,994,TRSE6
Vernicia fordii,995,VEFO
Cotinus obovatus,996,COOB2
Elaeagnus angustifolia,997,ELAN
Viburnum lantanoides,1001,VILA
Lonicera maackii,1003,LOMA
Rhamnus davurica,1004,RHDA
Rosa multiflora,1005,ROMU
Tetradium daniellii,1006,TEDA
Carya tomentosa,1009,CATO
Elaeagnus umbellata,1010,ELUM
Cephalanthus occidentalis,1011,CEPOC
Monarda russeliana,1014,MONRU
Lyonia lucida,1016,LYLU
Ilex glabra,1017,ILGL
Bejaria racemosa,1018,BERA
Quercus chapmanii,1019,QUCH
Morella cerifera,1020,MOCE
Quercus geminata,1021,QUGE
Quercus myrtifolia,1022,QUMY
Lyonia ferruginea,1023,LYFE
Hypericum brachyphyllum,1024,HYBR
Callicarpa americana,1027,CAAM
Rhus copallinum,1028,RHCO
Quercus montana,1030,QUMO
Kalmia latifolia,1031,KALA
Viburnum acerifolium,1036,VIAC
Lindera benzoin,1037,LIBE
Berberis thunbergii,1039,BETH
Vaccinium corymbosum,1040,VACO
Hamamelis virginiana,1041,HAVI
Asimina angustifolia,1042,ASAN
Vaccinium arboreum,1043,VAAR
Quercus hemisphaerica,1044,QUHE
Linum striatum,1045,LISTR
Quercus laceyi,1046,QULA
Cornus drummondii,1048,CODR
Rhus aromatica,1049,RHAR
Prunus angustifolia,1050,PRAN
Zanthoxylum americanum,1051,ZAAM
Rhus glabra,1052,RHGL
Ilex decidua,1054,ILDE
Amelanchier laevis,1055,AMLAE
Ilex montana,1056,ILMO
Toxicodendron radicans,1058,TORA
Ilex cassine,1059,ILCA
Persea palustris,1060,PERPA
Ilex myrtifolia,1061,ILMY
Vitis rotundifolia,1062,VIRO
Asimina incana,1063,ASINC
Toxicodendron vernix,1068,TOVE
Rhododendron canescens,1069,ROCA
Prunus umbellata,1070,PRUM
Ligustrum vulgare,1071,LIVU
Symphoricarpos orbiculatus,1072,SYOR
Ribes missouriense,1073,RIMI
Corylus cornuta,1074,COCO2
Artemisia tridentata,1077,ARTR
Pinus edulis,1078,PIEDU
Juniperus osteosperma,1079,JUOST
Atriplex canescens,1080,ATRCA
Prosopis glandulosa,1081,PROGL
Yucca elata,1082,YUEL
Amyris elemifera,1200,AMEL
Bourreria succulenta,1201,BOSU2
Guaiacum sanctum,1206,GUSA3
Pictetia aculeata,1207,PIAC
Pisonia albida,1208,PIAL3
Guaiacum officinale,1232,GUOF
Populus sp.,1234,POPU
Salix sphenophylla,1235,SASP
Salix glauca,1236,SAGL
Salix pulchra,1237,SAPU
Salix petiolaris,1238,SAPE
Salix scouleriana,1239,SASC
Salix sphaeronymphoides,1240,SASP2
Salix sp.,1241,SALI
Salix spodiophylla,1242,SASP3
Salix spathulifolia,1243,SASP4
Salix sphaeronymphe,1244,SASP5
Salix spathulata,1245,SASP6
Salix splendens,1246,SASP7
Schaefferia frutescens,1247,SCFR
Celtis sp.,1248,CELTIS
Celtis spinosa,1249,CESP
Ulmus sp.,1250,ULMUS
Ulmus serotina,1251,ULSE
Krugiodendron ferreum,1252,KRFE
Rhamnus ilicifolia,1253,RHIL
Frangula purshiana,1254,FRPU
Frangula californica,1255,FRCA
Elaeagnus commutata,1256,ELCO
Shepherdia argentea,1257,SHAR
Dasiphora fruticosa,1258,DAFR
Rosa gymnocarpa,1259,ROGY
Rubus leucodermis,1260,RULE
Rubus spectabilis,1261,RUSP
Rubus armeniacus,1262,RUAR
Sorbus speciosa,1263,SOSP
Sorbus spectans,1264,SOSP2
Sorbus spongbergii,1265,SOSP3
Malus sp.,1266,MALUS
Malus spectabilis,1267,MASP3
Malus spontanea,1268,MASP4
Pyrus calleryana,1269,PYCA
Pyrus spinosa,1270,PYSP
Pyrus spuria,1271,PYSP2
Pyrus spectabilis,1272,PYSP3
Amelanchier spicata,1273,AMSP
Crataegus spathulata,1274,CRSP
Crataegus sphaenophylla,1275,CRSP2
Crataegus spissa,1276,CRSP3
Crataegus spatiosa,1277,CRSP4
Crataegus chrysocarpa,1278,CRCH
Crataegus splendens,1279,CRSP5
Crataegus sp.,1280,CRATEG
Prunus spinosissima,1281,PRSP2
Prunus spinosa,1282,PRSP3
Prunus sp.,1283,PRUNUS
Prunus emarginata,1284,PREM
Prunus mexicana,1285,PRME
Prunus spinulosa,1286,PRSP4
Prunus spartioides,1287,PRSP5
Prunus speciosa,1288,PRSP6
Prunus spiraeifolia,1289,PRSP7
Prunus spatulata,1290,PRSP8
Cercocarpus montanus,1291,CEMO
Betula neoalaskana,1292,BENE
Betula occidentalis,1293,BEOC
Betula sp.,1294,BETUL
Alnus rubra,1295,ALRU
Juglans sp.,1296,JUGLA
Quercus spinosa,1297,QUSP2
Quercus sp.,1298,QUERCUS
Quercus kelloggii,1299,QUKE
Quercus chrysolepis,1300,QUCH2
Quercus wislizeni,1301,QUWI
Quercus fusiformis,1302,QUFU
Quercus splendens,1303,QUSP
Quercus douglasii,1304,QUDO
Quercus inopina,1305,QUIN
Quercus imbricariaefolia,1306,QUIM
Quercus pagodaefolia,1307,QUPA
Quercus prinus,1308,QUPR
Quercus spatulaefolia,1309,QUSP3
Andira inermis,1310,ANIN
Lupinus albifrons,1311,LUAL
Senna siamea,1312,SESI
Leucaena leucocephala,1313,LELE
Acacia koa,1314,ACKO
Pithecellobium dulce,1315,PODI
Acacia koaia,1316,ACKO2
Prosopis velutina,1317,PRVE
Larrea tridentata,1318,LATR
Mangifera indica,1319,MAIN
Comocladia dodonaea,1320,CODO
Citrus sphaerocarpa,1321,CISP2
Citrus sp.,1322,CITRUS
Citrus spectabilis,1323,CISP
Citrus spinosissima,1324,CISP3
Melicoccus bijugatus,1325,MEBI
Aesculus californica,1326,AECA
Aesculus sp.,1327,AESCU
Acer circinatum,1328,ACCI
Acer macrophyllum,1329,ACMA
Acer sp.,1330,ACER
Capparis cynophallophora,1331,CACY
Capparis hastata,1332,CAHA
Dirca palustris,1333,CIPA
Metrosideros polymorpha,1334,MEPO
Vitis sp.,1335,VITIS
Myoporum sandwicense,1336,MYSA2
Tabebuia heterophylla,1337,TAHE
Catalpa sp.,1338,CATALPA
Aloysia wrightii,1339,ALWR
Fraxinus spaethiana,1340,FRSP
Fraxinus sp.,1341,FRAXI
Cordia collococca,1342,COCO
Bourreria spathulata,1343,BOSP
Bourreria sp.,1344,BOURR
Lycium pallidum,1345,LYPA
Randia aculeata,1346,RAAC
Exostema caribaeum,1347,EXCA
Guettarda krugii,1348,GUKR
Coprosma spathulata,1349,COSP2
Coprosma ochracea,1350,COOC
Zinnia acerosa,1351,ZIAC
Parthenium incanum,1352,PAIN
Tetradymia canescens,1353,TECA
Artemisia filifolia,1354,ARFI
Artemisia tripartita,1355,ARTR3
Ericameria nauseosa,1356,ERNA
Chrysothamnus viscidiflorus,1357,CHVI
Gutierrezia sarothrae,1358,GUSA3
Cheirodendron trigynum,1359,CHTR
Symphoricarpos occidentalis,1360,SYOC
Viburnum sp.,1361,VIBURNUM
Viburnum sphaerocarpum,1362,VISP
Viburnum spruceanum,1363,VISP2
Ilex anomala,1364,ILAN
Ilex spicata,1365,ILSP
Ilex spinigera,1366,ILSP2
Ilex sp.,1367,ILEX
Ilex spruceana,1368,ILSP3
Ilex spinulosa,1369,ILSP4
Myrsine sandwicensis,1370,MYSA
Myrsine lessertiana,1371,MYLE
Jacquinia berteroi,1372,JABE
Diospyros sp.,1373,DIOSPY
Diospyros sprucei,1374,DISP
Diospyros sphaerocarpa,1375,DISP2
Diospyros sparsirama,1376,DISP3
Diospyros speciosa,1377,DISP4
Diospyros sphaerosepala,1378,DISP5
Sideroxylon obovatum,1379,SIOB
Sideroxylon salicifolium,1380,SISA
Symplocos spectabilis,1381,SYSA
Symplocos sp.,1382,SYMPLO
Symplocos speciosa,1383,SYSP
Symplocos spruceana,1384,SYSP2
Rhododendron spinuliferum,1385,RHSP
Rhododendron sp.,1386,RHODOD
Rhododendron spanotrichum,1387,RHSP2
Rhododendron spiciferum,1388,RHSP3
Rhododendron sphaeroblastum,1389,RHSP4
Rhododendron spondylophyllum,1390,RHSP5
Rhododendron sperabile,1391,RHSP6
Rhododendron sperabiloides,1392,RHSP7
Rhododendron spadiceum,1393,RHSP8
Rhododendron sparsifolium,1394,RHSP9
Rhododendron spathulatum,1395,RHSP10
Rhododendron spilotum,1396,RHSP11
Rhododendron splendens,1397,RHSP12
Rhododendron spodopeplum,1398,RHSP13
Vaccinium calycinum,1399,VACA
Vaccinium parvifolium,1400,VAPA
Vaccinium spaniotrichum,1401,VASP
Vaccinium sparsicapillum,1402,VASP2
Vaccinium sparsum,1403,VASP3
Vaccinium spicigelum,1404,VASP4
Vaccinium spiculatum,1405,VASP5
Vaccinium sprengelii,1406,VASP6
Gaylussacia frondosa,1407,GAFR
Gaultheria shallon,1408,FASH
Arctostaphylos viscida,1409,ARVI
Styphelia tameiameiae,1410,STTA
Cornus nuttallii,1411,CONU
Nyssa sp.,1412,NYSSA
Nyssa biflora,1413,NYBI
Atriplex confertifolia,1414,ATCO
Krascheninnikovia lanata,1415,KRLA
Guapira obtusata,1416,GUOB
Sarcobatus vermiculatus,1417,SAVE
Coccoloba krugii,1418,COKR
Coccoloba spicata,1419,COSP
Coccoloba spinescens,1420,COSP3
Coccoloba spruceana,1421,COSP4
Sabal etonia,1422,SAET
Asimina spatulata,1423,ASSP
Magnolia sp.,1424,MAGNOL
Magnolia sprengeri,1425,MASP
Magnolia splendens,1426,MASP2
Magnolia sphaerantha,1427,MASP7
Magnolia spathulata,1428,MASP5
Magnolia speciosa,1429,MASP6
Juniperus communis,1430,JUCO
Juniperus sp.,1431,JUNIP
Calocedrus decurrens,1432,CADE
Thuja plicata,1433,THPL
Taxus brevifolia,1434,TABR
Ephedra trifurca,1435,EPTR
Ephedra viridis,1436,EPVI
Ephedra trifurcata,1437,EPTR2
Pinus jeffreyi,1438,PIJE
Pinus sabiniana,1439,PISA
Pinus contorta,1440,PICO
Pinus lambertiana,1441,PILA
Pinus monticola,1442,PIMO
Pinus flexilis,1443,PIFL
Pinus spectabilis,1444,PISP
Picea spinulosa,1445,PISP2
Picea engelmannii,1446,PIEN
Picea sp.,1447,PICEA
Abies lasiocarpa,1448,ABLA
Abies grandis,1449,ABGR
Abies amabilis,1450,ABAM
Abies magnifica,1451,ABMA
Abies lowiana,1452,ABLO
Abies sp.,1453,ABIES
Abies spectabilis,1454,ABSP
Tsuga heterophylla,1455,TSHE
Cibotium glaucum,1456,CIGL
Cibotium menziesii,1457,CIME
Cibotium sp.,1458,CIBO
Buxbaumia minakatae,1459,BUMI
Ectoedemia sp.,1460,ECTOED
Larix sp.,1461,LARIX